Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1527579000000,0.00002735,0.00002735,0.00002450,0.00002500,1526303.00000000,1527579059999,38.71483571,402,548546.00000000,13.94036953,0
1527579060000,0.00002500,0.00002545,0.00002480,0.00002518,915463.00000000,1527579119999,22.98458650,356,596080.00000000,14.95556066,0
1527579120000,0.00002520,0.00002528,0.00002411,0.00002423,913251.00000000,1527579179999,22.42441552,285,300385.00000000,7.37721741,0
1527579180000,0.00002423,0.00002474,0.00002411,0.00002445,788946.00000000,1527579239999,19.29615660,210,487324.00000000,11.92104347,0
1527579240000,0.00002463,0.00002489,0.00002453,0.00002484,313525.00000000,1527579299999,7.76707951,162,207110.00000000,5.13027961,0
1527579300000,0.00002481,0.00002515,0.00002472,0.00002489,470499.00000000,1527579359999,11.73874989,238,338579.00000000,8.44431239,0
1527579360000,0.00002485,0.00002530,0.00002470,0.00002510,304774.00000000,1527579419999,7.63485078,219,172579.00000000,4.32726780,0
1527579420000,0.00002513,0.00002568,0.00002501,0.00002517,553648.00000000,1527579479999,14.06923136,308,307040.00000000,7.79846634,0
1527579480000,0.00002518,0.00002544,0.00002501,0.00002520,201882.00000000,1527579539999,5.09841889,169,108879.00000000,2.75303331,0
1527579540000,0.00002515,0.00002576,0.00002510,0.00002528,522041.00000000,1527579599999,13.31201344,295,300942.00000000,7.66319963,0
1527579600000,0.00002534,0.00002560,0.00002491,0.00002519,406013.00000000,1527579659999,10.24208804,312,197240.00000000,4.98698120,0
1527579660000,0.00002513,0.00002513,0.00002460,0.00002472,407416.00000000,1527579719999,10.14649454,238,106427.00000000,2.66269234,0
1527579720000,0.00002486,0.00002510,0.00002473,0.00002500,184552.00000000,1527579779999,4.60407447,106,143302.00000000,3.57678914,0
1527579780000,0.00002500,0.00002524,0.00002486,0.00002522,368074.00000000,1527579839999,9.25277220,142,180171.00000000,4.52997867,0
1527579840000,0.00002522,0.00002530,0.00002494,0.00002494,214000.00000000,1527579899999,5.36908318,132,68395.00000000,1.71684308,0
1527579900000,0.00002495,0.00002507,0.00002466,0.00002503,216332.00000000,1527579959999,5.39183078,177,90861.00000000,2.26844140,0
1527579960000,0.00002492,0.00002499,0.00002479,0.00002494,178499.00000000,1527580019999,4.44154983,76,22145.00000000,0.55237754,0
1527580020000,0.00002489,0.00002496,0.00002479,0.00002482,70939.00000000,1527580079999,1.76455403,50,21085.00000000,0.52519696,0
1527580080000,0.00002483,0.00002510,0.00002470,0.00002500,291520.00000000,1527580139999,7.24543401,124,166176.00000000,4.13135498,0
1527580140000,0.00002500,0.00002510,0.00002481,0.00002490,125686.00000000,1527580199999,3.13601216,66,47590.00000000,1.18958957,0
1527580200000,0.00002490,0.00002495,0.00002480,0.00002490,42617.00000000,1527580259999,1.06111039,22,29978.00000000,0.74645904,0
1527580260000,0.00002490,0.00002501,0.00002480,0.00002492,427458.00000000,1527580319999,10.66048060,109,87125.00000000,2.17437840,0
1527580320000,0.00002492,0.00002495,0.00002481,0.00002488,20638.00000000,1527580379999,0.51409548,124,5164.00000000,0.12874364,0
1527580380000,0.00002492,0.00002500,0.00002485,0.00002496,31177.00000000,1527580439999,0.77775143,29,26177.00000000,0.65342553,0
1527580440000,0.00002497,0.00002500,0.00002492,0.00002499,46551.00000000,1527580499999,1.16341387,36,40609.00000000,1.01488319,0
1527580500000,0.00002493,0.00002493,0.00002480,0.00002485,97802.00000000,1527580559999,2.42969060,34,1209.00000000,0.03005445,0
1527580560000,0.00002480,0.00002484,0.00002464,0.00002477,110760.00000000,1527580619999,2.73624451,55,33001.00000000,0.81503297,0
1527580620000,0.00002470,0.00002481,0.00002456,0.00002474,81600.00000000,1527580679999,2.01271450,38,22000.00000000,0.54486633,0
1527580680000,0.00002478,0.00002478,0.00002470,0.00002470,12058.00000000,1527580739999,0.29814552,14,8.00000000,0.00019824,0
1527580740000,0.00002474,0.00002474,0.00002457,0.00002469,25870.00000000,1527580799999,0.63669823,31,22231.00000000,0.54709677,0
1527580800000,0.00002466,0.00002478,0.00002466,0.00002477,86498.00000000,1527580859999,2.13383927,57,19588.00000000,0.48380707,0
1527580860000,0.00002475,0.00002475,0.00002466,0.00002466,18978.00000000,1527580919999,0.46817487,22,15160.00000000,0.37385118,0
1527580920000,0.00002465,0.00002465,0.00002450,0.00002456,42374.00000000,1527580979999,1.04179572,34,21817.00000000,0.53741141,0
1527580980000,0.00002461,0.00002461,0.00002455,0.00002455,69186.00000000,1527581039999,1.69991472,17,18001.00000000,0.44299631,0
1527581040000,0.00002459,0.00002471,0.00002459,0.00002471,68449.00000000,1527581099999,1.68980139,27,40373.00000000,0.99642570,0
1527581100000,0.00002470,0.00002470,0.00002461,0.00002465,1348.00000000,1527581159999,0.03322646,5,886.00000000,0.02183990,0
1527581160000,0.00002463,0.00002473,0.00002456,0.00002473,56438.00000000,1527581219999,1.38788290,19,10028.00000000,0.24724286,0
1527581220000,0.00002466,0.00002471,0.00002450,0.00002458,72603.00000000,1527581279999,1.78422462,25,28500.00000000,0.70300957,0
1527581280000,0.00002455,0.00002455,0.00002454,0.00002454,24118.00000000,1527581339999,0.59188645,10,18074.00000000,0.44353596,0
1527581340000,0.00002460,0.00002469,0.00002458,0.00002460,25911.00000000,1527581399999,0.63807673,16,20708.00000000,0.50989538,0
1527581400000,0.00002460,0.00002465,0.00002451,0.00002463,59902.00000000,1527581459999,1.47365940,22,38736.00000000,0.95441087,0
1527581460000,0.00002451,0.00002462,0.00002433,0.00002448,98119.00000000,1527581519999,2.40441960,52,13368.00000000,0.32747144,0
1527581520000,0.00002448,0.00002448,0.00002423,0.00002440,90186.00000000,1527581579999,2.19355390,71,49864.00000000,1.21324358,0
1527581580000,0.00002440,0.00002449,0.00002440,0.00002448,37361.00000000,1527581639999,0.91387306,79,17673.00000000,0.43250472,0
1527581640000,0.00002442,0.00002449,0.00002431,0.00002434,11538.00000000,1527581699999,0.28186346,50,4181.00000000,0.10210330,0
1527581700000,0.00002434,0.00002435,0.00002420,0.00002420,37999.00000000,1527581759999,0.92054100,26,2201.00000000,0.05338906,0
1527581760000,0.00002420,0.00002422,0.00002416,0.00002416,106477.00000000,1527581819999,2.57699024,33,20481.00000000,0.49563782,0
1527581820000,0.00002416,0.00002417,0.00002410,0.00002410,108695.00000000,1527581879999,2.62432990,42,25780.00000000,0.62258412,0
1527581880000,0.00002415,0.00002425,0.00002414,0.00002415,14675.00000000,1527581939999,0.35484264,21,6895.00000000,0.16691520,0
1527581940000,0.00002415,0.00002420,0.00002415,0.00002418,15573.00000000,1527581999999,0.37667084,8,15239.00000000,0.36860318,0
1527582000000,0.00002415,0.00002424,0.00002414,0.00002424,24186.00000000,1527582059999,0.58525663,22,16186.00000000,0.39166709,0
1527582060000,0.00002419,0.00002425,0.00002414,0.00002425,19019.00000000,1527582119999,0.46016375,15,9483.00000000,0.22979401,0
1527582120000,0.00002430,0.00002432,0.00002425,0.00002425,27039.00000000,1527582179999,0.65734018,17,4332.00000000,0.10530322,0
1527582180000,0.00002427,0.00002460,0.00002427,0.00002438,45394.00000000,1527582239999,1.10967518,121,32973.00000000,0.80643193,0
1527582240000,0.00002442,0.00002447,0.00002431,0.00002445,8548.00000000,1527582299999,0.20871535,13,4727.00000000,0.11552850,0
1527582300000,0.00002443,0.00002447,0.00002442,0.00002445,17813.00000000,1527582359999,0.43550429,18,9438.00000000,0.23077596,0
